,title,location,summary,salary
32,newDistillery job,"Delhi, Delhi","Part-time hours: 48 per week.
Job Types: Part-time, Regular / Permanent, Contractual / Temporary, Freelance.
I want an expert personnel in the field of creating…","₹25,000 a month"
33,newFemale Hindi Online Tutor,Remote,"Teach students how to apply Grammar, how to write the hindi, explaining quality .
Ability to manage time effectively.
Total work: 1 year (Preferred).",₹200 an hour
34,newSchool Transport Escort,"Gurgaon, Haryana","Job Types: Full-time, Part-time, Contractual / Temporary.
ALSO SHALL HAVE COMPLETE KNOWLEDGE OF BUSSES AND EVERYTHING.
Total work: 1 year (Preferred).","₹17,000 - ₹25,217 a month"
35,newEnthusiastic Volunteers,"Temporarily Remote in New Delhi, Delhi","Job Types: Part-time, Regular / Permanent, Volunteer, Internship, Fresher.
Male/ Female, Experienced/ Fresher & Students who have interest in Social Work.",NA
36,Freelance Content Writer,"Delhi, Delhi","Job Types: Full-time, Part-time, Freelance.
Write clear marketing copy to promote our products/services.
Identify customers needs and gaps in our content and…","₹5,000 - ₹15,000 a month"
37,OB-Gynae - Medical writer - MCQs,"Delhi, Delhi","Part-time hours: 20 per week.
Team player: must be able to work as per the editor and team lead’s instructions.
Questions and work must be plagiarism free.","₹1,66,631 - ₹6,75,817 a year"
38,Content Writer,"Gurgaon, Haryana","Job Types: Full-time, Part-time, Regular / Permanent, Contractual / Temporary, Freelance, Internship, Fresher.
Content writing: 1 year (Preferred).","₹15,000 - ₹50,000 a month"
39,Content Writer,"Meerut, Uttar Pradesh","Part-time hours: 40 per week.
Job Types: Full-time, Part-time, Regular / Permanent, Internship, Fresher.
Submit work to editors for input and approval.","₹5,123 - ₹8,233 a month"
40,Social Media (Part-Time/Freelancer),"New Delhi, Delhi","Part-time hours: 5 per week.
Job Types: Part-time, Contractual / Temporary, Freelance, Internship.
Social media marketing: 1 year (Preferred).","₹7,000 - ₹15,000 a month"
41,newCopywriter,Remote,"Job Types: Part-time, Freelance, Internship.",NA
42,newTech Product Content Writer,Remote,"Part-time hours: 35 per week.
Payment will be done after every article.
Need a part-time freelance English content writer for a *tech product review site*.","₹9,000 - ₹15,000 a month"
43,Computer operater,"Delhi, Delhi",Computer operators *monitor and control computer and electronic data processing equipment according to standardized operating instructions*.,"₹12,000 a month"
